year,per_capita_chf,median_salary_ratio,fit_median_salary_ratio
1986,187.60471272372598,0.0042785238260291455,
1987,191.63394984474712,0.004267636509993478,
1988,200.51745226461767,0.004315544341094561,
1989,205.4625902809372,0.004260234516897595,
1990,210.84613885403743,0.0041303506279195545,
1991,223.65887484736334,0.004096316389145848,
1992,241.0736292454766,0.004213395365727709,
1993,235.43585360508436,0.004007282366644274,
1994,254.27401697664666,0.004266915307031928,
1995,225.27868615611487,0.003730767854996603,
1996,292.4126395161451,0.004783612084742591,
1997,396.99860207601176,0.006464090824475899,
1998,486.3010747862651,0.007865894713804753,
1999,473.5598010864381,0.007636090703793184,
2000,432.3763745783129,0.006882782148651908,
2001,456.61577541397014,0.007095154692864226,
2002,481.3194772372212,0.007347491561904213,
2003,493.907076511756,0.0074347765611716635,
2004,468.6425171984965,0.006990073939479991,
2005,406.0668535674279,0.005999805756019916,
2006,454.5559492848348,0.006637403616681777,
2007,460.76596119243595,0.006620200591845344,
2008,456.0981192018945,0.006422469854707313,
2009,494.01692600479794,0.006812523112206933,
2010,511.01173435454695,0.00699134972848666,
2011,549.0306807047498,0.007439440117950539,
2012,572.2677585821903,0.007688050924044686,
2013,595.4869120442556,0.007985823839237415,
2014,614.6499115002072,0.008226923539728653,0.008426840076304565
2015,642.9620897540967,0.008541395527845485,0.008892513457278706
2016,675.6531774453229,0.008857075893310824,0.009358186838252958
2017,727.406957592298,0.00955806472185822,0.009823860219227099
2018,831.0460331782814,0.010952686398575062,0.01028953360020135
2019,938.7224174035589,0.012203879581429523,0.010755206981175491
2020,916.5718075555011,0.011770840493598155,0.011220880362149743
2021,918.9130201043273,0.011625335510656436,0.011686553743123884
2022,914.9460565533329,0.011403754817944622,0.012152227124098025
2023,963.7386008202736,0.011905062269249353,0.012617900505072277
2024,1083.1551385394548,0.013262258038733652,0.013083573886046418
