year,taxes_canton_personnes_physiques_revenu_per_capita_chf,taxes_canton_personnes_physiques_revenu_median_salary_ratio,taxes_canton_personnes_physiques_fortune_per_capita_chf,taxes_canton_personnes_physiques_fortune_median_salary_ratio,taxes_canton_personnes_physiques_autres_per_capita_chf,taxes_canton_personnes_physiques_autres_median_salary_ratio
1990,2162.9456218535797,0.04237082004884775,325.5356932173925,0.0063770508779461,379.2121094001507,0.007428539989816461
1991,2363.9174092272174,0.04329519064518713,318.2736773059909,0.005829188229047452,209.4463566722555,0.003836013858466218
1992,2321.2264469004863,0.04056953381747214,315.7753185326385,0.0055190037495217855,120.0738378413213,0.00209860594661146
1993,2623.364559416039,0.044651493726444016,371.1028439454475,0.006316429124888472,120.13719044488275,0.0020448187371473778
1994,2512.643363454268,0.042164105306992015,396.2561382054739,0.006649485471296045,129.89471371747132,0.0021797340870833553
1995,2564.0330403937746,0.042462126397618156,425.3470536657301,0.00704403573240809,127.63733119440957,0.0021137607842211443
1996,2529.9194404101095,0.041387243822963445,493.1652209378668,0.00806774671080138,142.5471138478271,0.0023319446709826443
1997,2584.4218532856858,0.04208059550093926,499.9142694063927,0.008139805089982948,114.78686883727086,0.0018690059404271014
1998,2528.0823223042744,0.04089160071014936,627.4109814617711,0.010148340150455668,128.09892100237053,0.0020719934168344093
1999,2687.983775290882,0.04334339162943244,617.0995809079566,0.009950651136931705,137.7244461648015,0.0022207889280959994
2000,2642.946111711782,0.04207173052708981,578.1358798528519,0.009203054438918367,137.82507005120314,0.0021939680046355165
2001,2959.5133293876975,0.04598659533513111,654.9808904700025,0.010177464268599702,125.7361623972312,0.0019537597488537384
2002,2965.911882318655,0.04527556759966195,683.0544421140472,0.010427038561916823,131.76149207001384,0.0020113801683765927
2003,2913.219276558937,0.04385265047806685,604.0805818982465,0.009093216851792004,113.42565856727215,0.0017073949085873097
2004,3594.0440508184324,0.05360724376258028,773.2986848254222,0.011534196718952065,157.88308127502535,0.0023549173867165644
2005,4000.9007961081206,0.05911496448150296,667.0033728186161,0.009855250780416904,171.7521185757025,0.002537708607797023
2006,4150.56753646424,0.06060638304515274,706.6249364238552,0.010318102570291676,188.71762930438967,0.0027556455420885122
2007,4246.041952882299,0.06100634989773417,761.2474214792222,0.010937462952287676,241.9622600103802,0.0034764692530227037
2008,4424.947706249763,0.06230916562816496,799.9720217776623,0.011264673056461394,187.45628643845578,0.002639634539237014
2009,4712.734566610586,0.06498889302513357,799.1853102455998,0.01102081347903359,252.17067448932502,0.003477448762884398
2010,4688.86461665657,0.06415017534964935,741.4801887381262,0.01014447803778972,271.23924914251666,0.003710929364944408
2011,4623.4249482580135,0.06264803452924138,746.987478827154,0.010121781555923495,262.66450729737335,0.0035591396652760615
2012,4826.632143455014,0.06484271244364305,801.6843991199651,0.01077011659841965,275.9468871366123,0.0037071697449703412
2013,4915.6123203155585,0.06592120373773681,860.5361746065271,0.011540287718679957,497.79502317315496,0.006675719117760366
2014,4880.208626101945,0.06532027821637681,893.7653811051287,0.011962808934376387,469.84356296061935,0.006288729560989123
2015,4795.760529865263,0.06370902452129847,948.0811225581339,0.012594733016607337,488.0488893376782,0.006483459393932704
2016,4816.217177877061,0.06313535181528317,976.9300368390147,0.012806486771000665,417.2522844686354,0.005469722149712068
2017,4883.710080892868,0.06417152949769878,989.7936370823179,0.013005803073193496,445.7599356860158,0.0058572471313730655
2018,4877.847538723408,0.064287093925924,1054.2988761025892,0.013895024462314687,472.1692753842347,0.006222906787182175
2019,5019.115054311688,0.06525110575028197,1057.96022890801,0.013754033137129617,458.51186397763024,0.00596089266741589
2020,4952.55582345149,0.06360193948029345,1059.8655129400222,0.013611053487183724,488.154632098614,0.0062690017991808445
2021,4959.943850438178,0.06274915047869765,1164.4117134262333,0.01473118406743375,545.5988635306943,0.006902470314390647
2022,4971.792830170283,0.06196770403542581,1106.8342072675318,0.01379542087032022,503.2685981071053,0.0062726667427847405
2023,5012.041180877298,0.06191374124020775,1110.200213138793,0.013714302464902572,495.2128741124633,0.0061173642913388586
2024,5031.669263791135,0.06160825330334919,1152.065203172893,0.014105999647038066,510.88451538944247,0.006255320249160575
