year,charges_totales_chf,charges_personnel_mch1_chf,charges_biens_services_mch1_chf,charges_interets_mch1_chf,charges_amortissements_mch1_chf,charges_parts_contributions_mch1_chf,charges_remboursements_collectivites_mch1_chf,charges_aides_subventions_privees_mch1_chf,charges_subventions_redistribuees_mch1_chf,charges_attributions_fonds_mch1_chf,charges_imputations_internes_mch1_chf,charges_personnel_mch2_chf,charges_biens_services_mch2_chf,charges_amortissements_mch2_chf,charges_financieres_mch2_chf,charges_attributions_fonds_mch2_chf,charges_transfert_mch2_chf,charges_subventions_redistribuer_mch2_chf,charges_extraordinaires_mch2_chf,charges_imputations_internes_mch2_chf,charges_transfert_administration_generale_chf,charges_transfert_ordre_securite_chf,charges_transfert_formation_chf,charges_transfert_culture_sport_loisirs_eglise_chf,charges_transfert_sante_chf,charges_transfert_prevoyance_sociale_chf,charges_transfert_trafic_telecom_chf,charges_transfert_protection_environnement_chf,charges_transfert_economie_publique_chf,charges_transfert_finances_impots_chf,charges_transfert_prevoyance_maladie_accident_chf,charges_transfert_prevoyance_invalidite_chf,charges_transfert_prevoyance_vieillesse_survivants_chf,charges_transfert_prevoyance_famille_jeunesse_chf,charges_transfert_prevoyance_chomage_chf,charges_transfert_prevoyance_aide_sociale_asile_chf,charges_transfert_fonc_total_chf,cpi_dec1982_base100,pib_nominal_chf,pib_reel_chf,population_canton,population_vevey,salaire_median_vaud_chf,salaire_median_vaud_approx_chf,salaire_median_vaud_approx_method,subsides_maladie_pc_avs_ai_chf,subsides_maladie_ri_cas_rigueur_chf,subsides_maladie_partiels_chf,subsides_maladie_collectif_agees_chf,subsides_maladie_total_chf,taxes_canton_impot_revenu_pp_chf,taxes_canton_impot_fortune_pp_chf,taxes_canton_impot_source_pp_chf,taxes_canton_impot_special_etrangers_pp_chf,taxes_canton_autres_impots_directs_pp_chf,taxes_canton_impot_benefice_pm_chf,taxes_canton_impot_capital_pm_chf,taxes_canton_impot_complementaire_immeubles_pm_chf,taxes_canton_autres_impots_directs_pm_chf,taxes_canton_impot_gains_immobiliers_chf,taxes_canton_impot_gains_capital_chf,taxes_canton_droits_mutation_chf,taxes_canton_droits_timbre_chf,taxes_canton_droits_mutation_timbre_chf,taxes_canton_impot_successions_donations_chf,taxes_canton_impot_chiens_chf,taxes_canton_impot_tombolas_loteries_chf,taxes_canton_impot_appareils_automatiques_chf,taxes_canton_taxes_vehicules_bateaux_cycles_chf,taxes_canton_taxes_routieres_chf,taxes_canton_impot_bateaux_chf,taxes_canton_impot_recupere_apres_defalcation_chf,taxes_canton_chf,taxes_canton_groupe_revenu_personnes_physiques_chf,taxes_canton_groupe_fortune_personnes_physiques_chf,taxes_canton_groupe_autres_personnes_physiques_chf,taxes_canton_groupe_personnes_morales_chf,taxes_canton_groupe_mobilite_chf,taxes_canton_groupe_transactions_chf,taxes_communes_chf,taxes_vevey_chf,wage_index_ch_nominal,wage_index_ch_real
2012,8790375987.23,2874797550.49,490849766.56,69722380.11,343814123.5,218929844.1,329385787.71,3951508951.72,446484121.08,56900127.01,7983334.95,,,,,,,,,,,,,,,,,,,,,,,,,,,159.9,54297883930.0,57121330469.76231,729971.0,18594.0,6203.0,6203.0,actual,155258365.0,87476461.0,175004041.0,,417738868.0,3189587531.89,472702896.36,224970858.61,108743101.89,,610479933.25,81666129.05,25754620.75,,178539576.1,,157794112.85,10611344.8,,112503466.15,3488193.45,19405455.6,0.0,221994886.05,,,23927030.96,5442169137.76,3523301492.39,585206362.51,201433225.15,717900683.05,221994886.05,192332488.6100006,2531478388.0,69114284.0,2326.0,305.0
2013,9271715850.38,3087861466.66,514705948.33,59145838.23,309778012.95,243387973.74,333795590.74,4103522474.83,464154488.51,148250257.22,7113799.17,,,,,,,,,,,,,,,,,,,,,,,,,,,159.5,53140821440.0,55636306659.14113,743317.0,18906.0,,6214.0,interpolated_ch_index,162714445.0,90554165.0,189366935.0,,442635545.0,3378981194.5,530903740.4,274877008.6,,123683034.42,638008581.65,90563815.3,,26727534.85,,242791133.82,,,182354678.3,108747427.3,3545335.0,,,,219752186.3,4940538.95,,5825876209.389999,3653858203.1,639651167.6999999,370019503.24,755299931.8,224692725.25,182354678.29999924,2683540019.53,70594820.45,2343.0,308.0
2014,9518007286.98,,,,,,,,,,,2463959267.79,872251112.42,189926065.37,39342711.7,13227657.4,5328294416.91,482011473.36,121110283.4,7884298.63,236613000.0,12478000.0,808827000.0,85561000.0,1289829000.0,2231395000.0,183036000.0,12644000.0,85771000.0,382141000.0,347050000.0,514952000.0,258464000.0,147406000.0,107985000.0,855538000.0,5328294000.0,159.5,54981005040.0,57586981465.46187,755369.0,19220.0,6226.0,6226.0,actual,164079707.0,95522423.0,204685359.0,,464287489.0,3416477675.95,590275878.51,269880633.74,,126054493.9,628316635.25,80850284.65,,27022992.7,,225295230.06,,,163728317.4,84846783.65,3555538.35,,,,222097176.96,5039684.3,,5843441325.42,3686358309.69,675122662.16,354905262.31000006,736189912.6,227136861.26,163728317.39999962,2701170377.21,73531680.53,2361.0,311.0
2015,9652980199.67,,,,,,,,,,,2316101876.56,758905270.25,183239837.17,26180479.01,38551291.62,5733385429.64,556549852.8,35112662.34,4953500.28,226139000.0,12733000.0,843997000.0,94254000.0,1312510000.0,2388909000.0,186486000.0,15069000.0,92119000.0,561170000.0,360287000.0,548563000.0,279197000.0,152743000.0,107571000.0,940548000.0,5733385000.0,157.7,54435903470.0,57854470300.69578,767497.0,19453.0,,6273.0,interpolated_ch_index,176436874.0,97567097.0,219467504.0,,493471475.0,3410774215.9,620404556.57,269957603.49,,152630289.73,629718611.95,79665344.7,,29163961.9,,218282351.74,,,169636799.9,107244860.75,3663416.95,,,,229030595.45,5116176.35,,5925288785.4,3680731819.39,727649417.32,374576058.42,738547918.5500001,234146771.8,169636799.91999912,2736386039.06,73576564.85,2370.0,315.0
2016,9639294251.74001,,,,,,,,,,,2347354322.15,724890958.28,414711371.92,23759645.01,19182446.3,5506528450.85,559417279.28,38515576.02,4934201.93,12896000.0,14933000.0,986139000.0,89443000.0,1371916000.0,2490255000.0,221419000.0,16843000.0,100050000.0,202633000.0,576827000.0,361723000.0,302635000.0,217398000.0,112948000.0,918725000.0,5506528000.0,157.0,57875598780.0,61856185793.09672,778251.0,19780.0,6357.0,6357.0,actual,188653817.0,106161947.0,231011997.0,,525827761.0,3477204349.8,641055808.1,271021485.1,,124675669.09,663211631.6,107570357.8,,31437075.3,,196250525.2,,,167307828.4,119240970.0,3800813.35,,,,236233136.7,5179770.9,,6044189421.34,3748225834.9,760296778.1,324727007.64,802219064.6999999,241412907.6,167307828.39999962,2795364558.13,72887329.37,2386.0,319.0
2017,10004164582.46,,,,,,,,,,,2394031356.74,761729469.53,262336237.13,29733123.71,20407468.94,5585757038.43,606044799.52,339174363.21,4950725.25,10088000.0,13712000.0,995093000.0,89459000.0,1257856000.0,2680747000.0,217617000.0,17084000.0,93896000.0,210205000.0,628625000.0,373907000.0,302329000.0,222927000.0,112755000.0,1040204000.0,5585757000.0,157.8,56036505030.0,59829594602.98115,794384.0,19827.0,,6342.0,interpolated_ch_index,205613053.0,115710338.0,256517057.6,,577840448.6,3594559738.5,675237613.5,284981410.4,,136803487.45,612715702.25,93663827.5,,27959971.4,,213361773.3,,,182526997.7,111038615.1,3939300.0,,,,241153439.4,5317410.05,,6183259286.55,3879541148.9,786276228.6,354104560.75,734339501.15,246470849.45,182526997.70000076,2857134617.95,80554711.07,2395.0,318.0
2018,10269813128.94,,,,,,,,,,,2430731669.38,742236219.62,351456789.58,34240176.2,31185374.36,5987804407.58,615359668.33,71910166.55,4888657.34,17222000.0,20344000.0,1030407000.0,96217000.0,1572375000.0,2659346000.0,265070000.0,18027000.0,108273000.0,200525000.0,713867000.0,479448000.0,296371000.0,246848000.0,111714000.0,811098000.0,5987806000.0,159.3,59540040170.0,63123510839.03619,800162.0,19891.0,6323.0,6323.0,actual,229719876.0,120138972.0,315112608.0,,664971456.0,3633420019.38,708684517.8,269648222.9,,124022977.38,583119533.3,98413368.4,,38765914.4,,249745729.35,,,201937155.7,134925379.5,4043205.000000001,,,,245243948.3,5299520.75,,6297269492.16,3903068242.28,843609897.3,377811911.73,720298816.0999999,250543469.05,201937155.6999998,2935809371.0,80851295.5,2407.0,317.0
2019,10514550772.56,,,,,,,,,,,2477989426.06,794592507.47,153493579.29,37502966.23,48101016.25,5910087208.56,630122206.09,458250063.8,4411798.81,13471000.0,14292000.0,1058162000.0,98998000.0,1389488000.0,2788802000.0,243835000.0,18938000.0,106223000.0,177880000.0,814973000.0,384030000.0,201785000.0,246659000.0,112702000.0,1028653000.0,5910087000.0,159.9,59640915170.0,63266373806.17017,806088.0,19824.0,,6410.0,interpolated_ch_index,236844039.0,121819681.0,398029156.0,,756692876.0,3787449533.9,729833855.3,258398882.0,,125941681.26,452540473.9,101767789.7,,35891783.05,,239558590.15,,,191194710.8,122975189.7,4100640.000000001,,,,248379326.9,5342846.55,,6303375303.21,4045848415.9,852809045.0,369600911.41,590200046.65,253722173.45,191194710.8000011,2929990413.59,77273453.32,2429.0,319.0
2020,11068214741.83,,,,,,,,,,,2521763264.12,716740077.74,136033000.33,36454972.99,254560922.75,6503976014.58,633871419.93,261401109.5,3413959.89,8835000.0,14875000.0,1075853000.0,127752000.0,1655069000.0,2924496000.0,263631000.0,18499000.0,203218000.0,211749000.0,809617000.0,419065000.0,211995000.0,314922000.0,115435000.0,1053462000.0,6503976000.0,158.7,57242305790.0,60932726903.05843,815300.0,19752.0,6489.0,6489.0,actual,238730340.1,117348610.72000006,391202043.88,,747280994.7,3757872651.36,714026364.2,279946111.5,,116618027.8,691614147.1,85087675.35,,40862432.45,,277097543.75,,,207643602.6,150081988.5,4276900.0,,,,251695594.1,5431605.35,,6582254644.06,4037818762.86,864108352.7,397992471.55,817564254.9000001,257127199.45,207643602.6000004,3035041877.84,72182698.49,2449.0,324.0
2021,11863872548.29,,,,,,,,,,,2611669428.07,719110519.38,158472012.72,39411922.19,253912815.19,6793309223.72,833568694.51,449260580.54,5157351.97,6432000.0,14449000.0,1097206000.0,136322000.0,1605963000.0,2909265000.0,287644000.0,18093000.0,431624000.0,286313000.0,801991000.0,420491000.0,233363000.0,310025000.0,118859000.0,1024537000.0,6793310000.0,159.6677666666667,64716606660.0,67536265174.78602,823753.0,19683.0,,6587.0,interpolated_linear,244053918.05,113809510.79999997,399093928.2,,756957357.05,3823951094.1,802781534.47,261817532.53,,120665945.78,605387789.7,88516211.7,,41335869.7,,324355279.85,,,257486257.1,156406107.7,4417475.0,,,,255765422.55,5536533.5,,6748423053.7,4085768626.63,959187642.17,449438700.63,735239871.1000001,261301956.05,257486257.11999893,3143383371.95,79807197.0,,
2022,11645592352.1,,,,,,,,,,,2669600777.71,749076916.08,184990839.44,31159071.74,117239884.85,6567327806.42,640436991.54,681284221.45,4475842.87,6756000.0,15776000.0,1109258000.0,122956000.0,1617007000.0,3037776000.0,273147000.0,17574000.0,129513000.0,237565000.0,785582000.0,432953000.0,242074000.0,336562000.0,115857000.0,1124748000.0,6567328000.0,164.1,66403665610.0,67756873147.083595,830791.0,19738.0,6686.0,6686.0,actual,244976988.1,116300924.04999998,398851037.12,,760128949.27,3830664148.64,793046919.14,299856588.53,,120569206.29,661086608.46,79340671.55,,43140994.2,,292977840.6,,,238863820.45,126500978.75,4563975.0,,,,254189738.2,5599566.55,,6750401056.36,4130520737.17,919547897.89,418111021.8900001,783568274.21,259789304.75,238863820.4499989,3150676177.19,78464094.46,,
2023,11869763467.26,,,,,,,,,,,2754218322.15,809936316.7,217725319.81,12584549.54,38812653.27,6981012545.75,664871233.67,385733849.56,4868676.81,8875000.0,15949000.0,1144275000.0,119916000.0,1683393000.0,3304364000.0,301891000.0,18992000.0,138128000.0,245233000.0,843551000.0,463262000.0,250408000.0,378391000.0,116525000.0,1252226000.0,6981014000.0,167.69976666666665,67599084930.0,68572603781.37447,846303.0,20139.0,,6746.0,interpolated_linear,258605338.8,121311893.55,435697636.74,,815614869.09,3943282032.91,809710664.68,298423454.59,,122413167.85,751907922.82,97033287.3,,46142191.85,,292022473.15,,,236153960.2,129855106.29999998,4664500.0,,,,251918976.1,5681455.02,,6989209192.7699995,4241705487.5,939565770.98,419100141.0,895083401.97,257600431.12,236153960.1999998,3270618779.15,88723694.39,,
2024,12669668735.68,,,,,,,,,,,2892675083.73,871533857.93,254402615.61,13507783.52,47166754.31,7456131945.96,653786772.73,473870471.45,6593450.44,10475000.0,18562000.0,1168465000.0,121033000.0,1845573000.0,3570544000.0,292818000.0,22673000.0,152558000.0,253432000.0,951816000.0,499378000.0,260947000.0,401210000.0,122071000.0,1335122000.0,7456133000.0,169.48280833333334,72123062530.0,72402486101.6725,855749.0,20142.0,6806.0,6806.0,actual,285576369.8,138550234.89999998,502782321.95,,926908926.65,3996357106.12,819656787.45,309488834.7,,136028280.61,796791930.12,82821972.6,,47517020.45,,296399791.55,,,220216604.2,166221858.1,4760841.0,,,,231510671.2,5663342.0,,7113435040.1,4305845940.82,985878645.55,437188913.16,927130923.17,237174013.2,220216604.20000076,3352464723.19,87817876.66,,
2025,,,,,,,,,,,,,,,,,,,,,5722000.0,20290000.0,1184512000.0,126734000.0,1910458000.0,3734812000.0,315850000.0,20689000.0,147297000.0,310035000.0,1061618000.0,522963000.0,272303000.0,421834000.0,125801000.0,1330294000.0,7776400000.0,169.7,71402380910.0,71402380910.0,864226.0,20179.0,,6867.0,extrapolated_recent_trend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
