year,charges_totales_chf,charges_personnel_mch1_chf,charges_biens_services_mch1_chf,charges_interets_mch1_chf,charges_amortissements_mch1_chf,charges_parts_contributions_mch1_chf,charges_remboursements_collectivites_mch1_chf,charges_aides_subventions_privees_mch1_chf,charges_subventions_redistribuees_mch1_chf,charges_attributions_fonds_mch1_chf,charges_imputations_internes_mch1_chf,charges_personnel_mch2_chf,charges_biens_services_mch2_chf,charges_amortissements_mch2_chf,charges_financieres_mch2_chf,charges_attributions_fonds_mch2_chf,charges_transfert_mch2_chf,charges_subventions_redistribuer_mch2_chf,charges_extraordinaires_mch2_chf,charges_imputations_internes_mch2_chf,charges_transfert_administration_generale_chf,charges_transfert_ordre_securite_chf,charges_transfert_formation_chf,charges_transfert_culture_sport_loisirs_eglise_chf,charges_transfert_sante_chf,charges_transfert_prevoyance_sociale_chf,charges_transfert_trafic_telecom_chf,charges_transfert_protection_environnement_chf,charges_transfert_economie_publique_chf,charges_transfert_finances_impots_chf,charges_transfert_prevoyance_maladie_accident_chf,charges_transfert_prevoyance_invalidite_chf,charges_transfert_prevoyance_vieillesse_survivants_chf,charges_transfert_prevoyance_famille_jeunesse_chf,charges_transfert_prevoyance_chomage_chf,charges_transfert_prevoyance_aide_sociale_asile_chf,charges_transfert_fonc_total_chf,cpi_dec1982_base100,pib_nominal_chf,pib_reel_chf,population_canton,population_vevey,salaire_median_vaud_chf,salaire_median_vaud_approx_chf,salaire_median_vaud_approx_method,subsides_maladie_pc_avs_ai_chf,subsides_maladie_ri_cas_rigueur_chf,subsides_maladie_partiels_chf,subsides_maladie_collectif_agees_chf,subsides_maladie_total_chf,taxes_canton_impot_revenu_pp_chf,taxes_canton_impot_fortune_pp_chf,taxes_canton_impot_source_pp_chf,taxes_canton_impot_special_etrangers_pp_chf,taxes_canton_autres_impots_directs_pp_chf,taxes_canton_impot_benefice_pm_chf,taxes_canton_impot_capital_pm_chf,taxes_canton_impot_complementaire_immeubles_pm_chf,taxes_canton_autres_impots_directs_pm_chf,taxes_canton_impot_gains_immobiliers_chf,taxes_canton_impot_gains_capital_chf,taxes_canton_droits_mutation_chf,taxes_canton_droits_timbre_chf,taxes_canton_droits_mutation_timbre_chf,taxes_canton_impot_successions_donations_chf,taxes_canton_impot_chiens_chf,taxes_canton_impot_tombolas_loteries_chf,taxes_canton_impot_appareils_automatiques_chf,taxes_canton_taxes_vehicules_bateaux_cycles_chf,taxes_canton_taxes_routieres_chf,taxes_canton_impot_bateaux_chf,taxes_canton_impot_recupere_apres_defalcation_chf,taxes_canton_chf,taxes_canton_groupe_revenu_personnes_physiques_chf,taxes_canton_groupe_fortune_personnes_physiques_chf,taxes_canton_groupe_autres_personnes_physiques_chf,taxes_canton_groupe_personnes_morales_chf,taxes_canton_groupe_mobilite_chf,taxes_canton_groupe_transactions_chf,taxes_communes_chf,taxes_vevey_chf,wage_index_ch_nominal,wage_index_ch_real
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.9,,,589657.0,15371.0,,4768.0,extrapolated_ch_index_backward,78601757.0,,57716356.0,5832640.0,142150753.0,1284333383.0,133588616.0,56921921.0,27472119.0,,166214925.0,54218372.0,11763200.0,,68332479.0,,47833372.0,4556274.0,,52610511.0,1969983.0,499917.0,917889.0,137769760.0,,,1179337.32,2050182058.32,1368727423.0,186199127.0,70802379.0,233114386.0,137769760.0,53568983.32000017,1472407133.0,45244480.0,1788.0,280.0
1993,4632569169.0,2021900922.57,492046648.55,174950269.48,176393900.44,42638376.0,229838354.23,1207708904.62,107423307.8,8195430.35,171473054.96,,,,,,,,,,,,,,,,,,,,,,,,,,,138.3,,,593190.0,15416.0,,4896.0,extrapolated_ch_index_backward,62374460.0,,71301954.0,5981780.0,139658194.0,1482996297.0,165490230.0,48931310.0,24226016.0,,176164405.0,63429470.0,16938206.0,,63272583.0,,52568200.0,3892621.0,,54644266.0,1989753.0,6001844.0,1488121.0,148918381.0,,,1023693.85,2311975396.8499994,1556153623.0,220134496.0,71264180.0,258020202.0,148918381.0,57484514.84999943,1601246284.0,48794620.0,1836.0,278.0
1994,4894440708.13,2047562113.78,502743235.49,217929883.26,203846334.17,63631435.47,246852293.32,1254414947.25,139211404.85,9474633.45,208774427.09,,,,,,,,,,,,,,,,,,,,,,,,,,,139.5,,,598587.0,15436.0,,4966.0,extrapolated_ch_index_backward,63080654.0,,84040087.0,5084380.0,152205121.0,1439130287.0,170989332.0,39700721.0,25204645.0,,153318290.0,65037057.00000001,18250301.0,,68205849.0,,58967758.0,4356060.0,,66204441.0,1966860.0,7580578.0,3566920.0,151741482.0,,,698405.0,2274918986.0,1504035653.0,237193773.0,77753287.0,240172568.0,151741482.0,64022223.0,1580710357.0,50288713.0,1862.0,280.0
1995,4390179677.27,1595238388.26,358280176.1,243779706.24,213817761.76,42659722.35,250380419.06,1441429619.49,167546499.0,16577666.54,60469718.47,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0,,,602172.0,15671.0,,5032.0,extrapolated_ch_index_backward,62612167.0,,68717370.0,4326980.0,135656517.0,1474536244.0,185142115.0,41392076.0,28060584.0,,156210053.0,64737843.0,16445371.999999998,,66305297.99999999,,56913878.0,3882128.0,,70989971.0,2016231.0,8538098.0,4309918.0,155615906.0,,,817471.0,2335913186.0,1543988904.0,256132086.0,76859627.0,241703186.0,155615906.0,61613477.0,1638498032.0,49878199.0,1887.0,279.0
1996,4462847938.6,1612721959.77,334827117.09,254058255.36,210600170.25,53472811.05,256822739.36,1485803356.1,189336142.0,6489753.9,58715633.72,,,,,,,,,,,,,,,,,,,,,,,,,,,143.2,,,603156.0,15697.0,,5094.0,extrapolated_ch_index_backward,69884576.0,17104213.47,89381648.53,,176370438.0,1466354119.0,198433504.0,31701653.0,27880318.0,,140350150.0,75024471.0,21636110.0,,74159741.0,,52148656.0,4069109.0,,99022058.0,2097700.0,9720706.0,4834833.0,166539301.0,,,1587335.0,2375559763.9999995,1525936090.0,297455562.0,85978147.0,241845564.0,166539301.0,57805099.99999952,1658013225.0,46078546.0,1910.0,280.0
1997,4706331836.57,1664152208.34,334708427.47,265047913.65,231425938.1,45420827.9,290814515.48,1590338299.57,211979197.4,10235297.4,62209211.26,,,,,,,,,,,,,,,,,,,,,,,,,,,143.9,31836665230.0,37114024485.44009,604440.0,15666.0,,5118.0,extrapolated_ch_index_backward,75200439.25,26304867.96,138456527.82882455,,239961835.03882456,1505138345.0,213475475.0,26323808.0,30665792.0,,162760725.0,86184988.0,28695567.0,,57305307.0,,54972992.0,3763809.0,,88692706.0,2077680.0,9998788.0,4830332.0,168437386.0,,,923760.0,2444247460.0,1562127945.0,302168181.0,69381775.0,282471612.0,168437386.0,59660561.0,1706312370.0,46995680.0,1919.0,280.0
1998,4838391252.67,1677855150.49,338771268.62,267312389.2,254779710.33,41686861.05,309930299.48,1668546336.88,206274290.4,17129950.07,56104996.15,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,32465186410.0,37897024546.15457,607879.0,15502.0,,5152.0,extrapolated_ch_index_backward,79656952.68,34702384.18,181252874.18,,295612211.04,1480966161.0,219564254.0,27165634.0,28636359.0,,187128953.0,82105782.0,21435037.0,,63949654.0,,78961660.0,4137340.0,,161825706.0,2093565.0,11825425.0,5505786.0,170135783.0,,,1573098.0,2547010197.0000005,1536768154.0,381389960.0,77868644.0,296175558.0,170135783.0,84672098.00000048,1730560165.0,50649095.0,1932.0,282.0
1999,5078774071.21,1718538631.34,373638498.82,272579365.93,267337919.02,44072790.25,335195482.64,1696169948.48,229887626.1,17870652.5,123483156.13,,,,,,,,,,,,,,,,,,,,,,,,,,,145.1,33106762920.0,38545081404.23749,612276.0,15494.0,,5168.0,extrapolated_ch_index_backward,84531258.2,42187932.72,163230109.84999996,,289949300.77,1572759684.0,265737334.99999997,38683868.0,34344402.0,,213831135.0,87470625.0,20248344.0,,68518841.0,,97003332.0,3835840.0,,112097928.0,2109375.0,13697157.0,5558015.0,176248533.0,,,1184440.0,2713328854.000001,1645787954.0,377835263.0,84325373.0,327108119.0,176248533.0,102023612.00000095,1856456570.0,59715047.0,1938.0,280.0
2000,5377297978.82,1775708616.97,373009731.61,327209956.7,290362378.2,46832471.6,397820251.84,1810764076.4,267203801.15,24699828.43,63686865.92,,,,,,,,,,,,,,,,,,,,,,,,,,,147.4,35674545190.0,40934471448.60947,615978.0,15420.0,,5235.0,extrapolated_ch_index_backward,87470297.86,41902531.85,136961504.75,,266334334.46,1551091347.0,270819130.0,44515484.0,32389829.0,,249087750.0,90550537.0,19264484.0,,72146320.0,,100437240.0,4392751.0,,85299853.0,2096707.0,10654184.0,3796509.0,181314147.0,,,2055157.0,2717856271.9999995,1627996660.0,356118983.0,84897211.0,362699280.0,181314147.0,104829990.99999952,1882031254.0,61443276.0,1963.0,279.0
2001,5659886019.16,1862581722.61,394711906.01,311071051.26,269421808.86,43577926.6,422205476.15,2009070110.23,264139436.64,14870054.7,68236526.1,,,,,,,,,,,,,,,,,,,,,,,,,,,148.8,35970485910.0,40851708339.46584,621784.0,15628.0,,5363.0,extrapolated_ch_index_backward,90232962.5,42170012.45,151513408.35000002,,283916383.3,1747970399.0,304709391.0,52564422.0,39643215.0,,307058110.0,66037585.00000001,20191049.0,,62756541.0,,93114458.0,4967149.0,,102547247.0,2091210.0,13332983.0,2831714.0,194224972.0,,,2323780.0,3014040445.0,1840178036.0,407256638.0,78180734.0,396118458.0,194224972.0,98081607.0,2069614375.0,60728972.0,2011.0,284.0
